anio,ciiuc,cod_ciudad,caja,inversiones,activo_corriente,activo_no_corriente,activo,obl_finan,proveedores,obl_laborales,pasivo_corriente,pasivo_no_corriente,pasivo,patrimonio,ing_operacionales,utilidad,sectorppal2,ing2,ing2_def,id
2010,5223,11001,90826,0,3096662,2234397,5331059,2315974,1639134,129402,4315641,0,4315641,1015418,19351509,83547,5223,19425613,166782,3492
2010,5229,11001,1000,12277,3537687,2321147,5858834,1426779,1295971,58492,3153233,60579,3213812,2645022,8175030,216017,5229,8242984,73021,3564
2010,5229,11001,13717,0,428657,372265,800922,0,86317,0,155508,0,155508,645414,1132099,22621,5229,1140102,9788,4111
2010,5223,5001,21356,0,3889151,6522472,10411623,243827,2562117,230610,3823377,3733187,7556564,2855059,37961324,-870118,5223,38798611,330412,6947
2011,5219,68001,103478,606,3725948,1181667,4907615,238968,2638000,64808,3210541,356377,3566918,1340697,13253370,160169,5219,13698413,111500,97
2011,5211,11001,43809,35500,1944400,886167,2830567,291540,589821,11055,1221719,0,1221719,1608848,2427172,140192,5211,2452041,19940,606
2011,5229,11001,115323,172140,1955039,1428295,3383334,249072,241329,25562,1942483,0,1942483,1440851,12934603,261438,5229,12934603,104563,876
2011,5224,11001,1868,66099,2666957,1106013,3772970,314275,284425,117683,1340778,0,1340778,2432192,8875214,528289,5224,9073039,73851,1071
2011,5219,76001,10120,2952,7400884,4083765,11484649,1255932,1780170,117521,3583875,1415174,4999049,6485600,13117863,21523,5219,13798425,112221,1111
2011,5211,76520,14338,6976,198159,458574,656733,0,81781,18636,144450,92044,236494,420239,1177915,16186,5211,1182508,9625,1465
2011,5211,76001,787264,417321,7616362,1516369,9132731,260000,2805687,140891,4905320,0,4905320,4227411,57837641,484219,5211,57932808,471319,1891
2011,5211,76001,1111585,1066,9271976,5092386,14364362,3445010,5140271,270966,9741246,1765460,11506706,2857656,76150913,266977,5211,76395246,621832,1964
2011,5219,73001,28540,0,4789742,517640,5307382,520612,2377339,42103,4040365,0,4040365,1267017,12398666,194039,5219,13176243,106732,2051
2011,5211,5001,25890,0,2901497,4619774,7521271,0,1277578,112836,1805810,4181468,5987278,1533993,14621381,35727,5211,14728935,119888,2138
2011,5229,11001,581,0,696115,1104946,1801061,177383,88284,292,276902,429722,706624,1094437,1004527,86135,5229,1512731,12313,3321
2011,5223,11001,164226,73500,3377434,2556445,5933879,613664,1292615,94243,2279808,2469458,4749266,1184613,22601798,169196,5223,22744816,185135,3492
2011,5219,11001,500,0,292118,35981,328099,834,44036,0,104360,0,104360,223739,388554,16362,5219,388554,3162,3498
2011,5229,11001,2701,12277,3821678,2491711,6313389,552938,1378320,45836,2342055,1273433,3615488,2697901,9312750,24082,5229,9340613,78715,3564
2011,5229,11001,509,0,468929,384384,853313,0,32230,0,49513,169691,219204,634109,928203,-316,5229,935286,7612,4111
2011,5219,11001,73408,0,446283,170145,616428,0,2427,0,4352,0,4352,612076,280128,16606,5219,280128,2280,4498
2011,5229,11001,0,0,4134351,21105873,25240224,2908,0,85912,825979,0,825979,24414245,1581451,201739,5229,1581451,12459,5592
2011,5229,68081,0,0,140848,55231,196079,0,0,19893,40506,0,40506,155573,346157,14213,5229,346157,2817,5651
2011,5223,11001,8209,0,2073165,2436201,4509366,895217,458758,27169,1772462,1887069,3659531,849835,36222847,187266,5223,36379780,295996,6706
2011,5223,5001,48953,0,5016356,6047147,11063503,2901,2755062,298302,3816283,2896515,6712798,4350705,46660230,1495646,5223,48106061,389019,6947
2011,5229,8001,740,1529,568800,4495,573295,0,0,5323,203953,168910,372863,200432,39705,1732,5229,39705,323,7097
2012,5219,68001,139215,36245,3794432,1890333,5684765,331337,2542156,79566,3160691,681637,3842328,1842437,15521623,465015,5219,15961141,129729,97
2012,5229,11001,166387,10623,1581428,2217261,3798689,177336,140188,34106,1271490,0,1271490,2527199,14026359,520289,5229,14026359,112792,876
2012,5219,76001,8284,104438,5530529,9002098,14532627,1210515,727029,111079,2451232,2550121,5001353,9531274,10947805,2716488,5219,11492883,93247,1111
2012,5211,76520,24826,8742,195096,629287,824383,0,243764,21520,315040,80298,395338,429045,1819376,23804,5211,1819376,14769,1465
2012,5211,76001,867477,866115,8083112,1789431,9872543,503707,2789599,132099,5167200,0,5167200,4705343,60851837,484775,5211,60931650,494351,1891
2012,5211,76001,1713406,1117,10846980,8450866,19297846,3443242,6646074,398411,12140477,3256868,15397345,3900501,92603346,456189,5211,92916584,754295,1964
2012,5219,73001,14854,0,4846063,503243,5349306,306525,2522043,51795,4031500,0,4031500,1317806,12718701,206751,5219,13339458,107898,2051
2012,5211,5001,28408,0,4842001,4210639,9052640,1667286,1193253,111267,3754363,3735295,7489658,1562982,16032015,32735,5211,16198214,131496,2138
2012,5229,41001,8444,17789592,26591992,0,26591992,0,0,45592,1647320,0,1647320,24944672,19232056,2445519,5229,19233847,156140,2521
2012,5221,11001,4503,1397,1986588,455296,2441884,1080696,432905,4109,1683237,0,1683237,758647,8788236,122407,5221,8788236,71342,2731
2012,5229,11001,88380,712892,1896361,520488,2416849,0,386382,0,386382,346998,733380,1683469,4006102,365505,5229,4272548,34684,2871
2012,5219,11001,6810,12635,9151639,140047,9291686,3400000,737539,16901,4747280,0,4747280,4544406,15684909,1778291,5219,16858601,136584,3490
2012,5223,11001,183981,12815,3356494,2933361,6289855,2009100,1609231,169132,4087741,946806,5034547,1255308,21940994,131378,5223,22082051,177038,3492
2012,5229,11001,1500,12277,3822495,2700658,6523153,434813,1269465,56442,2242377,1395878,3638255,2884898,8741872,174425,5229,8779447,73526,3564
2012,5229,11001,5096,0,483728,393566,877294,41667,38207,0,91133,90934,182067,695227,765541,13454,5229,779208,6325,4111
2012,5219,11001,70090,0,463227,170145,633372,0,793,0,5924,0,5924,627448,293135,15371,5219,293135,2379,4498
2012,5222,25126,47316,0,2082460,1881680,3964140,89572,272675,100458,739204,2416483,3155687,808453,6888234,42995,5222,6893063,54471,4948
2012,5225,8001,22755,38458,2169091,389490,2558581,443,309160,4303,1730494,0,1730494,828087,5245155,26186,5225,5266485,42753,5531
2012,5229,76001,144,13089,1139655,1290449,2430104,344049,42081,0,667829,257370,925199,1504905,517541,9960,5229,517541,4201,5805
2012,5211,13001,6086,0,524100,1729719,2253819,115397,0,0,115397,933448,1048845,1204974,1402853,-37795,5211,1405688,11411,5922
2012,5223,11001,98498,40101,3575267,3759116,7334383,1412678,1279123,1266,3690524,2590152,6280676,1053707,39243102,203874,5223,39418779,315068,6706
2012,5223,5001,19306,0,4769773,6479351,11249124,250563,3390065,305696,5104173,2338304,7442477,3806647,51427473,-140233,5223,52962546,426553,6947
2013,5219,68001,100998,724947,4241770,1887233,6129003,742125,2674662,92953,3693788,435724,4129512,1999491,16797015,526065,5219,17417709,143478,97
2013,5229,76001,28160,41509,4548665,7424266,11972931,87878,737301,114354,1534111,2447496,3981607,7991324,9465762,54182,5229,9465762,77963,1111
2013,5211,76520,15785,68442,1097137,560393,1657530,0,125084,23985,769447,344845,1114292,543238,2468668,135695,5211,2468668,20332,1465
2013,5211,76001,254522,1212168,6881641,1638134,8519775,498720,2218108,130100,3752349,0,3752349,4767426,59989585,563782,5211,60089687,494604,1891
2013,5211,76001,941959,1142,9799127,8365211,18164338,2505172,5651938,387083,9600991,4176062,13777053,4387285,87990303,486784,5211,88212890,725905,1964
2013,5211,5001,22475,0,5544641,5592737,11137378,5664935,1123864,119460,7572303,0,7572303,3565075,15725646,57187,5211,15822150,130316,2138
